inclusive_s,method,signature
0.017490,ClimaDiagnostics.Writers.NetCDFWriter /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaDiagnostics/dalrR/src/netcdf_writer.jl:289,Tuple{typeof(Core.kwcall); @NamedTuple{num_points::Tuple{Int64}; z_sampling_method::ClimaDiagnostics.Writers.LevelsMethod; horizontal_method::ClimaCore.Remapping.BilinearRemapping{Nothing; Nothing; Nothing; Nothing}; sync_schedule::ClimaDiagnostics.Schedules.DivisorSchedule; init_time::ClimaUtilities.TimeManager.ITime{Int64; Dates.Second; Dates.DateTime}; start_date::Dates.DateTime}; Type{ClimaDia
0.017342,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.SCMSetup{ClimaAtmos.LargeScaleSubsidence{ClimaAtmos.Setups.var"#27#28"{Float64}}; Nothing; Nothing; Bool; @NamedTuple{prof_ug::Returns{Float64}; prof_vg::Returns{Float64}; coriolis_param::Float64}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol}}
0.017268,TOML.Internals.Printer.print_table /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/TOML/src/print.jl:149,Tuple{typeof(Core.kwcall); @NamedTuple{indent::Int64; first_block::Bool; sorted::Bool; by::typeof(identity); inline_tables::IdSet{Dict{String}}}; typeof(TOML.Internals.Printer.print_table); Nothing; IOStream; Dict{String; Any}; Vector{String}}
0.017260,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.LargeScaleSubsidence{ClimaAtmos.Setups.var"#27#28"{Float64}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol}}
0.016431,ClimaTimeSteppers.initialize_callbacks! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/ClimaTimeSteppers.jl:177,Tuple{typeof(ClimaTimeSteppers.initialize_callbacks!); ClimaTimeSteppers.CallbackSet{Tuple{ClimaTimeSteppers.DiscreteCallback{ClimaAtmos.var"#660#662"{ClimaAtmos.CappedGeometricSeriesSchedule}; ClimaAtmos.var"#661#663"{ClimaUtilities.OnlineLogging.WallTimeInfo}; Returns{Nothing}; Returns{Nothing}}; ClimaTimeSteppers.DiscreteCallback{ClimaAtmos.var"#617#619"{Bool; Int64; Base.RefValue{Int64}}; Clim
0.015850,Base.setindex_widen_up_to array.jl:835,Tuple{typeof(Base.setindex_widen_up_to); Vector{Pair{Symbol; Float64}}; Pair{Symbol; Vector{Float64}}; Int64}
0.015837,Base.setindex_widen_up_to array.jl:835,Tuple{typeof(Base.setindex_widen_up_to); Vector{ClimaAtmos.EnergySourceTag{:strat; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}}; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; Int64}
0.015352,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosTagging{Nothing; Nothing; ClimaAtmos.EnergySourceTaggingModel{Tuple{ClimaAtmos.EnergySourceTag{:strat; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:rad; Nothing; Tuple{Symbol}}
0.015101,Base.summary show.jl:3135,Tuple{typeof(summary); ClimaAtmos.AtmosNumerics{Val{:vanleer_limiter}; Val{:vanleer_limiter}; Val{:first_order}; Val{:none}; Val{:first_order}; Nothing; Nothing; Nothing; ClimaAtmos.Explicit; ClimaAtmos.Hyperdiffusion{Float64}}}
0.014599,YAML._print /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/YAML/Otn8f/src/writer.jl:56,Tuple{typeof(YAML._print); IOStream; Vector{Dict{Any; Any}}; Int64}
0.014551,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosSurface{ClimaAtmos.SurfaceConditions.MoninObukhov{Float64; ClimaAtmos.SurfaceConditions.HeatFluxes{Float64; Float64}; Float64}; ClimaAtmos.SurfaceConditions.AnalyticTemperature{Returns{Float64}}; ClimaAtmos.SurfaceConditions.SurfaceBoundaryOverrides{Float64; Float64; Nothing; Nothing; Nothing; Nothin
0.014220,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; Tuple{ClimaAtmos.EnergySourceTag{:strat; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:rad; Nothing; Tuple{Symbol}}; ClimaAtmos.EnergySourceTag{:sfc; Nothing; Tuple{Symbol}}; ClimaAtmos.EnergyS
0.014004,ClimaAtmos.ode_configuration /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/integrator.jl:63,Tuple{typeof(ClimaAtmos.ode_configuration); Type{Float64}; String; String; Int64; Bool; Bool; Float64; Float64; Bool; Float64; Float64}
