time,form_a_max,form_a_relative,initial_min_lower,initial_min_upper,form_a_max_unrepaired,initial_lower,initial_upper,energy_change,records,form_b
2880.0,0.0,0.0,1.5759927708908673e-31,2.172609295336023e-22,0.0,3.8231164118701893e8,2.5450518738212147e8,75907.72724914551,75907.58674576493,0.14050338057859335
2940.0,0.0,0.0,2.3545924440427868e-31,3.0133248610152723e-22,0.0,3.823116411870188e8,2.5450518738212153e8,77499.14239943027,77499.00189584043,0.14050358984968625
3000.0,0.0,0.0,3.4897291329431157e-31,4.142478469011877e-22,0.0,3.823116411870187e8,2.5450518738212138e8,79090.84305799007,79090.7025547424,0.14050324767595157
3060.0,0.0,0.0,5.132272677175559e-31,5.646560892849418e-22,0.0,3.823116411870186e8,2.5450518738212144e8,80682.82587051392,80682.6853674304,0.14050308351579588
3120.0,0.0,0.0,7.4918666909133975e-31,7.634269406979355e-22,0.0,3.823116411870185e8,2.5450518738212132e8,82275.08758091927,82274.94707756251,0.14050335675710812
3180.0,0.0,0.0,1.0857910278677076e-30,1.0241236449980247e-21,0.0,3.8231164118701845e8,2.5450518738212132e8,83867.6250257492,83867.48452276141,0.1405029877932975
3240.0,0.0,0.0,1.5627361836110648e-30,1.363554823861962e-21,0.0,3.823116411870183e8,2.5450518738212138e8,85460.43513226509,85460.29462912242,0.14050314266933128
3300.0,0.0,0.0,2.23413687599675e-30,1.8024145386263834e-21,0.0,3.823116411870181e8,2.545051873821213e8,87053.51490938663,87053.37440578343,0.14050360320834443
3360.0,0.0,0.0,3.173325839602527e-30,2.3660199056883875e-21,0.0,3.82311641187018e8,2.5450518738212138e8,88646.86144638062,88646.72094320336,0.14050317725923378
3420.0,0.0,0.0,4.4791068779442274e-30,3.085156390840246e-21,0.0,3.823116411870179e8,2.5450518738212138e8,90240.47191226482,90240.33140908336,0.14050318146473728
3480.0,0.0,0.0,6.2838593247372464e-30,3.997041125234565e-21,0.0,3.823116411870178e8,2.5450518738212132e8,91834.34354758263,91834.20304441953,0.14050316310022026
3540.0,0.0,0.0,8.763988000545339e-30,5.146414799850731e-21,0.0,3.8231164118701774e8,2.5450518738212132e8,93428.47366333008,93428.33316025924,0.14050307084107772
3600.0,0.0,0.0,1.2153332728938711e-29,6.586772866632475e-21,0.0,3.823116411870176e8,2.5450518738212132e8,95022.85963571072,95022.71913233845,0.14050337226944976
