exclusive_s,inferences,specializations,method
0.225684,973,317,ClimaCore.Utilities.auto_broadcasted /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:150
0.215888,3946,868,Base.iterate tuple.jl:69
0.215508,12,6,ClimaCore.Operators.call_bc_f /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3043
0.209597,2,2,ClimaAtmos.NonOrographicGravityWaveParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:617
0.208258,4,4,TOML.Internals.Printer.#print_table#3 /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/TOML/src/print.jl:149
0.207187,478,235,ClimaCore.Fields.field_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:95
0.206429,3974,1054,Core.NamedTuple boot.jl:727
0.198067,1036,327,Base.setproperty! Base.jl:50
0.197977,207,115,Core.Array boot.jl:577
0.197768,227,125,ClimaCore.DataLayouts.property_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:306
0.196619,14,3,StaticArrays.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:259
0.196218,4,4,ClimaCore.Topologies._Topology2D /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Topologies/topology2d.jl:313
0.195606,250,250,ClimaCore.MatrixFields.#143 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:306
0.189040,14,13,ClimaCore.MatrixFields.field_matrix_solver_cache /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:349
0.188798,14,14,ClimaCore.MatrixFields.#215 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:892
0.186906,247,247,ClimaCore.DataLayouts.modify_args /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:195
0.184297,53,53,NCDatasets.#defVar#30 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/cfvariable.jl:99
0.182031,86,83,Base.ht_keyindex2_shorthash! dict.jl:265
0.180430,243,243,UnrolledUtilities._unrolled_all /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:25
0.179849,90,90,Base._compute_eltype tuple.jl:272
0.173914,185,90,ClimaCore.DataLayouts.struct_field_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:105
0.173607,216,194,UnrolledUtilities.unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:170
0.173167,1,1,ClimaAtmos.trace_gas_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:425
0.172056,409,409,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:2
0.170876,32,10,ClimaCore.Fields.level /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:153
0.169140,9,9,StaticArrays._broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/broadcast.jl:111
0.168287,29,29,ClimaCore.MatrixFields.wrapped_prop_names /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:102
0.166859,81,81,ClimaCore.MatrixFields.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:304
0.165619,9235,9235,ClimaCore.MatrixFields.#97 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:383
0.163878,76,76,ClimaCore.Utilities._nested_broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:212
0.161374,14,13,ClimaCore.MatrixFields.check_field_matrix_solver /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:357
0.160274,14,14,CommonDataModel.#cfvariable#14 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CommonDataModel/xg2OM/src/cfvariable.jl:87
