inclusive_s,method,signature
0.005935,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{N2O_fixed_value::Float64; CH4_fixed_value::Float64; CFC12_fixed_value::Float64; CO2_fixed_value::Float64; CF4_fixed_value::Float64; HFC32_fixed_value::Float64; HFC125_fixed_value::Float64; NO2_fixed_value::Float64; N2_fixed_value::Float64; CCL4_fixed_value::Float64; CO_fixed_value::Float64; CFC11_fixed_
0.005932,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{gustiness_coeff::Float64; gustiness_zi::Float64}}}}
0.005931,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{snow_terminal_velocity_size_relation_coefficient::Float64; snow_flake_length_scale::Float64; snow_terminal_velocity_size_relation_coefficient_chiv::Float64; snow_terminal_velocity_size_relation_coefficient_delv::Float64}}}}
0.005929,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SB2006_raindrops_size_distribution_coeff_N0_max::Float64; density_liquid_water::Float64; SB2006_reference_air_density::Float64; SB2006_raindrops_size_distribution_coeff_lambda_min::Float64; SB2006_raindrops_max_mass::Float64; SB2006_rain_distribution_coeff_nu::Float64; SB2006_raindrops_size_distribution
0.005927,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_ice_snow_collision_efficiency::Float64}}}}
0.005918,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{snow_ventilation_coefficient_a::Float64; snow_aspect_ratio::Float64; density_ice_water::Float64; snow_aspect_ratio_coefficient::Float64; snow_apparent_density::Float64; snow_flake_size_distribution_coefficient_nu::Float64; snow_ventilation_coefficient_b::Float64; snow_flake_size_distribution_coefficient
0.005912,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SB2006_autoconversion_correcting_function_coeff_a::Float64; SB2006_autoconversion_correcting_function_coeff_b::Float64; SB2006_collection_kernel_coeff_kcc::Float64; SB2006_autoconversion_correcting_function_coeff_A::Float64; SB2006_raindrops_min_mass::Float64; SB2006_reference_air_density::Float64}}}}
0.005907,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{snow_mass_size_relation_coefficient_me::Float64; snow_flake_length_scale::Float64; snow_mass_size_relation_coefficient_chim::Float64; snow_mass_size_relation_coefficient_delm::Float64}}}}
0.005902,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{density_liquid_water::Float64; liquid_cloud_effective_radius::Float64; cloud_liquid_sedimentation_number_concentration::Float64}}}}
0.005899,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{kinematic_viscosity_of_air::Float64; thermal_conductivity_of_air::Float64; diffusivity_of_water_vapor::Float64}}}}
0.005897,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SB2006_ventilation_factor_coeff_av::Float64; SB2006_ventilation_factor_coeff_bv::Float64}}}}
0.005896,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{density_ice_water::Float64; P3_wet_growth_timescale::Float64; density_liquid_water::Float64; temperature_water_freeze::Float64}}}}
