inclusive_s,method,signature
0.004939,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{default_momentum_roughness_length::Float64; von_karman_constant::Float64; default_scalar_roughness_length::Float64}}}}
0.004937,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{coefficient_b_m_businger::Float64; coefficient_b_h_businger::Float64}}}}
0.004928,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{temperature_homogenous_nucleation::Float64; condensation_evaporation_timescale::Float64}}}}
0.004923,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{gustiness_coeff::Float64; gustiness_zi::Float64}}}}
0.004916,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{coefficient_b_h_gryanik::Float64; prandtl_number_0_gryanik::Float64; coefficient_a_h_gryanik::Float64; most_stability_exponent_gryanik::Float64; coefficient_a_m_gryanik::Float64; coefficient_b_m_gryanik::Float64; most_stability_parameter_gryanik::Float64}}}}
0.004910,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{universal_gas_constant::Float64; gravitational_acceleration::Float64; surface_tension_water::Float64; ARG2000_pow_1::Float64; ARG2000_pow_2::Float64; ARG2000_f_coeff_1::Float64; density_ice_water::Float64; ARG2000_g_coeff_2::Float64; ARG2000_g_coeff_1::Float64; density_liquid_water::Float64; molar_mass_
0.004907,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{density_ice_water::Float64; P3_wet_growth_timescale::Float64; density_liquid_water::Float64; temperature_water_freeze::Float64}}}}
0.004889,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SB2006_collection_kernel_coeff_kapparr::Float64; SB2006_collection_kernel_coeff_krr::Float64; SB2006_raindrops_self-collection_coeff_d::Float64}}}}
0.004883,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_ice_size_distribution_coefficient_n0::Float64; cloud_ice_apparent_density::Float64; ice_cloud_effective_radius::Float64; cloud_ice_sedimentation_number_concentration::Float64}}}}
0.004881,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_liquid_water_specific_humidity_autoconversion_threshold::Float64; threshold_smooth_transition_steepness::Float64; rain_autoconversion_timescale::Float64}}}}
0.004874,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Horn2012_number_concentration_adjustment_timescale::Float64}}}}
0.004872,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{gravitational_acceleration::Float64; kinematic_viscosity_of_air::Float64; density_liquid_water::Float64}}}}
0.004861,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{snow_mass_size_relation_coefficient_me::Float64; snow_mass_size_relation_coefficient_delm::Float64}}}}
