t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
6840.0,1.345528086579901e-7,0.0003956102517584089,1.848593703648533e-7,0.0003976321936554755,9.580947090512929e-8,8.458140619064227e-6,6.637453269159969e-6,0.00016715293062703125,2.0825711216277913e-8,0.0003956102517584089,1.926973364744871e-8,0.0003976321936554755,4.729374399401177e-9,8.458140619064227e-6,2.2040528327253268e-7,0.00016715293062703125
6960.0,1.173547473887864e-6,0.000336177568858415,1.1758272122113217e-6,0.00033784939221140207,5.607727929475279e-8,9.807253811907619e-6,6.46737610248463e-6,0.00011873887107505996,3.049615811855722e-8,0.000336177568858415,3.0456311455793625e-8,0.00033784939221140207,4.184403763881667e-9,9.807253811907619e-6,2.625453795944089e-7,0.00011873887107505996
7080.0,1.5197298052167865e-6,0.0003000878090057264,1.480783173625572e-6,0.0003019183653404881,4.343636174332004e-8,1.0619524169738553e-5,6.104640285241432e-6,0.0001023760405131094,2.733557736729665e-8,0.0003000878090057264,2.922709130071713e-8,0.0003019183653404881,2.9313353147415737e-9,1.0619524169738553e-5,2.2621942386679586e-7,0.0001023760405131094
7200.0,1.2703371829435544e-6,0.0002766021140687736,1.266647066632254e-6,0.0002792192613839587,3.2460791504958346e-8,1.2534871128400113e-5,6.704342376365691e-6,0.00012165379434384383,2.7722026090447717e-8,0.0002766021140687736,2.8662933556601293e-8,0.0002792192613839587,9.454324751021217e-10,1.2534871128400113e-5,2.272482452740981e-7,0.00012165379434384383
7320.0,1.241722842738911e-6,0.0002193106596363474,1.2441378569452083e-6,0.00022222960936468453,1.2084083421947224e-7,1.3574420659301582e-5,5.735998173349312e-6,0.00010509928071987118,2.878704716259723e-8,0.0002193106596363474,2.971119730744906e-8,0.00022222960936468453,3.1365398111457285e-9,1.3574420659301582e-5,1.7498635523325865e-7,0.00010509928071987118
7440.0,1.1136266742709927e-6,0.00017742978353061007,1.0867170973778967e-6,0.00018061028362851864,2.6204009677948743e-7,1.5774857336398267e-5,4.769251880349488e-6,8.654999137229116e-5,3.913044537097095e-8,0.00017742978353061007,4.2025530586530576e-8,0.00018061028362851864,7.568684104040023e-9,1.5774857336398267e-5,1.414679228499438e-7,8.654999137229116e-5
7560.0,7.624233827525204e-7,0.0001951540479491285,7.088421945260884e-7,0.00020512322999077342,3.436016232053693e-7,1.7688087833575534e-5,4.956490743095685e-6,7.347376765358289e-5,4.101465252493796e-8,0.0001951540479491285,4.551671548730666e-8,0.00020512322999077342,1.155674654404461e-8,1.7688087833575534e-5,1.2980495374871074e-7,7.347376765358289e-5
7680.0,5.010162877469427e-7,0.00020266261250702342,6.243448225256186e-7,0.00021364864325669258,3.6144227667998633e-7,1.8271672488297902e-5,4.877480892834026e-6,6.66141632988211e-5,4.020738926097172e-8,0.00020266261250702342,4.181708035719e-8,0.00021364864325669258,1.2743337511686067e-8,1.8271672488297902e-5,1.0922634487747824e-7,6.66141632988211e-5
7800.0,4.009803229684915e-7,0.00019016962799736005,5.291426690126466e-7,0.00020126064053243865,3.021479581108286e-7,1.7929859513345402e-5,4.604924851974894e-6,6.780099183021184e-5,3.5676510361058996e-8,0.00019016962799736005,3.706806467254681e-8,0.00020126064053243865,1.0617635633296249e-8,1.7929859513345402e-5,9.22832398623987e-8,6.780099183021184e-5
7920.0,3.150579565460393e-7,0.00016669002121016648,4.511592459923554e-7,0.00017726545432857668,2.5194865445413e-7,1.694397069346728e-5,4.26692227543475e-6,6.8983832708847e-5,2.8697259438480788e-8,0.00016669002121016648,3.0040075025652754e-8,0.00017726545432857668,8.594260035864428e-9,1.694397069346728e-5,8.247740774682866e-8,6.8983832708847e-5
8040.0,3.120080444899119e-7,0.00014975456908857394,4.4645809667921874e-7,0.00015997374766405658,2.3533282687334842e-7,1.6925842509540423e-5,4.161158480736176e-6,7.01624253247404e-5,2.4210187862953004e-8,0.00014975456908857394,2.5955065447975272e-8,0.00015997374766405658,7.858334732220977e-9,1.6925842509540423e-5,8.016157401018626e-8,7.01624253247404e-5
8160.0,3.2113008535477134e-7,0.00013746019654359173,4.6914808470318274e-7,0.00014743071851617385,2.2212491223609432e-7,1.6988565110207866e-5,4.205774037685968e-6,7.133649767558725e-5,2.0417853745694363e-8,0.00013746019654359173,2.245514450802798e-8,0.00014743071851617385,7.4210304283444295e-9,1.6988565110207866e-5,8.252202872439467e-8,7.133649767558725e-5
8280.0,3.145544328314687e-7,0.0001249633428842147,4.5546670252942327e-7,0.0001346215072014773,1.975242215010582e-7,1.689354417305516e-5,4.306965418064647e-6,7.25057847157585e-5,1.6383754347823628e-8,0.0001249633428842147,1.8530479879960504e-8,0.0001346215072014773,6.726525690858788e-9,1.689354417305516e-5,8.602118816709749e-8,7.25057847157585e-5
8400.0,2.855541815257116e-7,0.00011140716333263007,4.119727301469517e-7,0.00012070560865582765,1.5626370950078275e-7,1.6695270686527506e-5,4.160222642285496e-6,7.367002734519298e-5,1.1023201693268747e-8,0.00011140716333263007,1.2931612101597319e-8,0.00012070560865582765,6.0434930672601185e-9,1.6695270686527506e-5,8.366385588942583e-8,7.367002734519298e-5
8520.0,3.1334225605095263e-7,9.728775826621195e-5,4.253018179743922e-7,0.0001061513154514297,1.460078005512399e-7,1.6420356299310723e-5,4.752986405787767e-6,7.482896759190381e-5,8.054126504128898e-9,9.728775826621195e-5,1.0366335530069191e-8,0.0001061513154514297,5.862130887291098e-9,1.6420356299310723e-5,1.0254379160526534e-7,7.482896759190381e-5
