exclusive_s,inferences,specializations,method
0.088045,37,34,UnrolledUtilities._unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:51
0.086275,92,92,Base._compute_eltype tuple.jl:272
0.086007,118,40,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:170
0.085632,17,10,ClimaCore.Geometry.adjoint /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:505
0.085576,2555,2555,ClimaCore.MatrixFields.#46 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:54
0.084912,2,2,StaticArrays.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:307
0.083665,2738,2714,Base.Fix2 operators.jl:1144
0.083498,4,4,ClimaAtmos.set_covariance_cache! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameterized_tendencies/microphysics/cloud_fraction.jl:241
0.083400,14,9,ClimaCore.Geometry.* /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:561
0.083167,3,3,ClimaAtmos.temporary_quantities /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/temporary_quantities.jl:74
0.082863,2,2,ClimaAtmos.#handle_restart#702 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/restart.jl:58
0.082617,2524,2524,Base.isequal tuple.jl:533
0.082412,2265,176,Base.indexed_iterate pair.jl:42
0.081820,1,1,ClimaAtmos.get_microphysics_1m_options /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/model_getters.jl:70
0.080678,1,1,CloudMicrophysics.Parameters.AerosolActivationParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/AerosolActivation.jl:39
0.079130,358,117,Base.cvt1 essentials.jl:607
0.078863,94,54,ClimaCore.DataLayouts.struct_field_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:105
0.078451,260,199,Base.Broadcast.broadcasted broadcast.jl:1322
0.077232,10,10,ClimaCore.DataLayouts.propertynames /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:295
0.077087,80,80,Base.grow_to! abstractdict.jl:609
0.076875,39,35,ClimaCore.Geometry.reshape /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:424
0.074485,114,113,Base._xfadjoint_unwrap reduce.jl:154
0.074365,206,90,ClimaCore.DataLayouts.VIJHWithF /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:405
0.074035,2,1,ClimaTimeSteppers.#IMEXTableau#68 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/solvers/imex_tableaus.jl:64
0.073889,1,1,CloudMicrophysics.Parameters.Snow /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/Microphysics1M.jl:295
0.073088,205,156,ClimaCore.DataLayouts.#rebuild#20 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:237
0.072907,122,21,ClimaCore.Utilities.stable_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:216
0.072145,82,82,Zygote.map! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Zygote/dywlZ/src/compiler/interface.jl:473
