exclusive_s,inferences,specializations,method
0.251271,4729,4729,ClimaCore.MatrixFields.is_value_in_set /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:334
0.247450,4,4,ClimaAtmos.set_face_diffusivities! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.245276,4,4,ClimaAtmos.set_edmfx_surface_conditions! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/prognostic_equations/edmfx_boundary_condition.jl:34
0.239700,216,194,UnrolledUtilities.unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:170
0.238126,53,53,NCDatasets.#defVar#30 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/cfvariable.jl:99
0.235957,195,176,Base.afoldl operators.jl:549
0.233098,514,472,Base.merge namedtuple.jl:334
0.230884,547,547,ClimaCore.DataLayouts.f_dim /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:146
0.229405,4,4,ClimaAtmos.set_prognostic_edmf_precomputed_quantities_draft! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.227839,50,40,Base.grow_to! abstractdict.jl:589
0.225099,973,317,ClimaCore.Utilities.auto_broadcasted /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:150
0.221155,4001,870,Base.iterate tuple.jl:69
0.219368,4340,4340,ClimaCore.MatrixFields.#55 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:111
0.218993,2288,2288,ClimaAtmos.#345 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/prognostic_equations/implicit/manual_sparse_jacobian.jl:437
0.215068,280,280,ClimaCore.MatrixFields.#143 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:306
0.212920,4025,1072,Core.NamedTuple boot.jl:727
0.211030,2,2,ClimaAtmos.NonOrographicGravityWaveParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:617
0.206877,6,6,ClimaCore.MatrixFields.check_field_matrix_solver /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:512
0.201876,100,41,ClimaCore.DataLayouts.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:164
0.200649,211,35,Base._join_preserve_annotations strings/io.jl:356
0.200270,478,235,ClimaCore.Fields.field_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:95
0.197048,209,116,Core.Array boot.jl:577
0.196885,14,3,StaticArrays.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:259
0.196351,281,191,ClimaCore.DataLayouts.#rebuild#20 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:237
0.188387,86,83,Base.ht_keyindex2_shorthash! dict.jl:265
0.187160,247,247,ClimaCore.DataLayouts.modify_args /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:195
